	incnormid	recordid	bronid	w_g	herdrukid	year	top1	top2	top3
269	316.0	11229	1008411	geestelijk	905846.0	1599.0	topic 9	topic 31	topic 15
270	316.0	11229	1000117	geestelijk		1563.0	topic 9	topic 31	topic 15
271	316.0	21999	1000128	geestelijk		1562.0	topic 9	topic 31	topic 15
272	316.0	21999	1000129	geestelijk	902303.0	1583.0	topic 9	topic 31	topic 15
273	316.0	11229	1000119	geestelijk	906916.0	1567.0	topic 9	topic 31	topic 15
274	316.0	11229	1008408	geestelijk	905845.0	1590.0	topic 9	topic 31	topic 15
275	316.0	11229	1000118	geestelijk	905452.0	1566.0	topic 9	topic 31	topic 15
276	316.0	11229	1008409	geestelijk	905456.0	1592.0	topic 9	topic 31	topic 15
277	316.0	11229	1008407	geestelijk	905455.0	1580.0	topic 9	topic 31	topic 15
278	316.0	11229	1001471	geestelijk	905454.0	1578.0	topic 9	topic 31	topic 15
279	316.0	11229	1008406	geestelijk	905453.0	1578.0	topic 9	topic 31	topic 15
280	316.0	11229	1008405	geestelijk	905348.0	1570.0	topic 9	topic 31	topic 15
281	316.0	11229	1008410	geestelijk	905457.0	1595.0	topic 9	topic 31	topic 15
282	318.0	32848	1011034	geestelijk		1614.0	topic 9	topic 40	topic 31
283	319.0	3762	1000198	geestelijk		1582.0	topic 31	topic 9	topic 46
284	320.0	19190	1000344	geestelijk	907175.0	1582.0	topic 31	topic 9	topic 19
285	320.0	19190	1000094	geestelijk	907649.0	1596.0	topic 31	topic 9	topic 19
286	320.0	19190	1000451	geestelijk	907970.0	1600.0	topic 31	topic 9	topic 19
287	320.0	19190	1001531	geestelijk	909272.0	1577.0	topic 31	topic 9	topic 19
288	320.0	19190	1000077	geestelijk		1552.0	topic 31	topic 9	topic 19
289	320.0	21263	1001302	geestelijk	911870.0	1632.0	topic 31	topic 9	topic 19
290	320.0	24073	1000131	geestelijk	900925.0	1595.0	topic 31	topic 9	topic 19
291	320.0	21263	1000371	geestelijk		1591.0	topic 31	topic 9	topic 19
292	320.0	24073	1000427	geestelijk		1580.0	topic 31	topic 9	topic 19
293	320.0	21263	1000215	geestelijk	901638.0	1592.0	topic 31	topic 9	topic 19
294	320.0	19190	1000089	geestelijk	906305.0	1579.0	topic 31	topic 9	topic 19
295	320.0	19190	1000093	geestelijk	902956.0	1593.0	topic 31	topic 9	topic 19
296	320.0	19190	1000096	geestelijk	902957.0	1599.0	topic 31	topic 9	topic 19
297	320.0	19190	1000557	geestelijk	902955.0	1591.0	topic 31	topic 9	topic 19
298	320.0	19190	1000092	geestelijk	902954.0	1589.0	topic 31	topic 9	topic 19
299	320.0	19190	1000090	geestelijk	902953.0	1580.0	topic 31	topic 9	topic 19
300	320.0	19190	1000088	geestelijk	902952.0	1579.0	topic 31	topic 9	topic 19
301	320.0	19190	1000087	geestelijk	902685.0	1577.0	topic 31	topic 9	topic 19
302	320.0	19190	1000084	geestelijk	902348.0	1569.0	topic 31	topic 9	topic 19
303	320.0	19190	1000095	geestelijk	901916.0	1559.0	topic 31	topic 9	topic 19
304	320.0	19190	1000083	geestelijk	900211.0	1566.0	topic 31	topic 9	topic 19
305	320.0	19190	1000078	geestelijk	900003.0	1556.0	topic 31	topic 9	topic 19
306	320.0	19190	1000091	geestelijk	905015.0	1582.0	topic 31	topic 9	topic 19
307	321.0	20505	1016932	geestelijk		1649.0	topic 25	topic 18	topic 31
308	321.0	20505	1001036	geestelijk	921611.0	1655.0	topic 25	topic 18	topic 31
309	322.0	6710	1000744	geestelijk		1620.0	topic 49	topic 10	topic 4
310	323.0	22149	1000243	geestelijk	906438.0	1567.0	topic 6	topic 9	topic 7
311	323.0	22149	1000176	geestelijk	907082.0	1567.0	topic 6	topic 9	topic 7
312	323.0	22149	1000137	geestelijk		1565.0	topic 6	topic 9	topic 7
313	324.0	114136	1001934	geestelijk		1608.0	topic 21	topic 46	topic 2
314	324.0	33715	1010972	geestelijk		1660.0	topic 21	topic 46	topic 2
315	324.0	29958	1006991	geestelijk		1576.0	topic 21	topic 46	topic 2
316	324.0	29778	1007047	geestelijk		1583.0	topic 21	topic 46	topic 2
317	324.0	27998	1007036	geestelijk		1592.0	topic 21	topic 46	topic 2
318	324.0	6135	1010177	geestelijk		1632.0	topic 21	topic 46	topic 2
319	324.0	27138	1006993	geestelijk		1580.0	topic 21	topic 46	topic 2
320	324.0	10916	1000853	geestelijk		1605.0	topic 21	topic 46	topic 2
321	324.0	10620	1000026	geestelijk		1591.0	topic 21	topic 46	topic 2
322	324.0	6135	1016865	geestelijk	925282.0	1683.0	topic 21	topic 46	topic 2
323	324.0	6135	1016756	geestelijk	924773.0	1722.0	topic 21	topic 46	topic 2
324	324.0	6135	1000733	geestelijk	918524.0	1634.0	topic 21	topic 46	topic 2
325	324.0	89	1000025	geestelijk		1589.0	topic 21	topic 46	topic 2
326	324.0	23946	1000200	geestelijk		1678.0	topic 21	topic 46	topic 2
327	339.0	21226	1010240		911875.0	1651.0	topic 27	topic 10	topic 19
328	339.0	21226	1001050			1646.0	topic 27	topic 10	topic 19
